Date,Amzn_Close,AMZN_Return
22/04/2013,263.55,1.24
23/04/2013,268.9,2.03
24/04/2013,268.78,-0.04
25/04/2013,274.7,2.2
26/04/2013,254.81,-7.24
29/04/2013,249.74,-1.99
30/04/2013,253.81,1.63
01/05/2013,248.23,-2.2
02/05/2013,252.55,1.74
03/05/2013,258.05,2.18
06/05/2013,255.72,-0.9
07/05/2013,257.73,0.79
08/05/2013,258.68,0.37
09/05/2013,260.16,0.57
10/05/2013,263.63,1.33
13/05/2013,264.51,0.33
14/05/2013,268.33,1.44
15/05/2013,266.56,-0.66
16/05/2013,264.12,-0.92
17/05/2013,269.9,2.19
20/05/2013,267.63,-0.84
21/05/2013,268.86,0.46
22/05/2013,262.96,-2.19
23/05/2013,261.8,-0.44
24/05/2013,261.74,-0.02
28/05/2013,267.29,2.12
29/05/2013,265.53,-0.66
30/05/2013,266.83,0.49
31/05/2013,269.2,0.89
03/06/2013,266.88,-0.86
04/06/2013,265.7,-0.44
05/06/2013,267.17,0.55
06/06/2013,267.83,0.25
07/06/2013,276.87,3.38
10/06/2013,281.07,1.52
11/06/2013,274.78,-2.24
12/06/2013,271.67,-1.13
13/06/2013,275.79,1.52
14/06/2013,273.99,-0.65
17/06/2013,278.06,1.49
18/06/2013,281.76,1.33
19/06/2013,278.16,-1.28
20/06/2013,273.44,-1.7
21/06/2013,273.36,-0.03
24/06/2013,270.61,-1.01
25/06/2013,272.09,0.55
26/06/2013,277.57,2.01
27/06/2013,277.55,-0.01
28/06/2013,277.69,0.05
01/07/2013,282.1,1.59
02/07/2013,283.73,0.58
03/07/2013,284.03,0.11
05/07/2013,285.88,0.65
08/07/2013,290.59,1.65
09/07/2013,291.53,0.32
10/07/2013,292.33,0.27
11/07/2013,299.66,2.51
12/07/2013,307.55,2.63
15/07/2013,306.57,-0.32
16/07/2013,306.87,0.1
17/07/2013,308.69,0.59
18/07/2013,304.11,-1.48
19/07/2013,305.23,0.37
22/07/2013,303.48,-0.57
23/07/2013,301.06,-0.8
24/07/2013,298.94,-0.7
25/07/2013,303.4,1.49
26/07/2013,312.01,2.84
29/07/2013,306.1,-1.89
30/07/2013,302.41,-1.21
31/07/2013,301.22,-0.39
01/08/2013,305.57,1.44
02/08/2013,304.21,-0.45
05/08/2013,300.99,-1.06
06/08/2013,300.75,-0.08
07/08/2013,296.91,-1.28
08/08/2013,295.74,-0.39
09/08/2013,297.26,0.51
12/08/2013,296.69,-0.19
13/08/2013,293.97,-0.92
14/08/2013,291.34,-0.89
15/08/2013,286.47,-1.67
16/08/2013,284.82,-0.58
19/08/2013,285.57,0.26
20/08/2013,287.09,0.53
21/08/2013,284.57,-0.88
22/08/2013,289.73,1.81
23/08/2013,290.01,0.1
26/08/2013,286.21,-1.31
27/08/2013,280.93,-1.84
28/08/2013,281.58,0.23
29/08/2013,283.98,0.85
30/08/2013,280.98,-1.06
03/09/2013,288.8,2.78
04/09/2013,293.64,1.68
05/09/2013,294.1,0.16
06/09/2013,295.86,0.6
09/09/2013,299.71,1.3
10/09/2013,300.36,0.22
11/09/2013,299.64,-0.24
12/09/2013,298.86,-0.26
13/09/2013,297.92,-0.31
16/09/2013,296.06,-0.62
17/09/2013,304.17,2.74
18/09/2013,312.03,2.58
19/09/2013,312.06,0.01
20/09/2013,316.34,1.37
23/09/2013,311.49,-1.53
24/09/2013,314.13,0.85
