Date,EUR
2004. april 7.,248.12
2004. april 8.,247.96
2004. april 9.,247.95
2004. april 13.,248.29
2004. april 14.,249.89
2004. april 15.,253.32
2004. april 16.,252.24
2004. april 19.,251.99
2004. april 20.,250.56
2004. april 21.,250.56
2004. april 22.,252.25
2004. april 23.,251.4
2004. april 26.,250.19
2004. april 27.,249.7
2004. april 28.,251.22
2004. april 29.,253.43
2004. april 30.,252.19
2004. may 3.,250.81
2004. may 4.,251.33
2004. may 5.,250.97
2004. may 6.,250.91
2004. may 7.,251.9
2004. may 10.,254.08
2004. may 11.,254.09
2004. may 12.,253.33
2004. may 13.,255.79
2004. may 14.,256.39
2004. may 17.,255.43
2004. may 18.,253.65
2004. may 19.,253.14
2004. may 20.,252.83
2004. may 21.,253.34
2004. may 24.,252.95
2004. may 25.,252.09
2004. may 26.,251.68
2004. may 27.,251.57
2004. may 28.,251.28
2004. june 1.,251.75
2004. june 2.,251.35
2004. june 3.,251.52
2004. june 4.,252.29
2004. june 7.,252.38
2004. june 8.,251.26
2004. june 9.,251.66
2004. june 10.,253.31
2004. june 11.,254.12
2004. june 14.,253.38
2004. june 15.,252.9
2004. june 16.,252.93
2004. june 17.,253.8
2004. june 18.,256.2
2004. june 21.,254.59
2004. june 22.,255.73
2004. june 23.,254.4
2004. june 24.,253.27
2004. june 25.,253.24
2004. june 28.,253.26
2004. june 29.,253.3
2004. june 30.,253.23
2004. july 1.,250.95
2004. july 2.,250.79
2004. july 5.,250.37
2004. july 6.,250.53
2004. july 7.,250.75
2004. july 8.,250.7
2004. july 9.,250.88
2004. july 12.,251.73
2004. july 13.,250.87
2004. july 14.,250.39
2004. july 15.,249.63
2004. july 16.,250.1
2004. july 19.,249.72
2004. july 20.,249.63
2004. july 21.,249.92
2004. july 22.,249.88
2004. july 23.,249.07
2004. july 26.,249.4
2004. july 27.,248.6
2004. july 28.,247.9
2004. july 29.,246.87
2004. july 30.,247.93
2004. august 2.,248.7
2004. august 3.,250.66
2004. august 4.,250.89
2004. august 5.,249.23
2004. august 6.,248.07
2004. august 9.,247.84
2004. august 10.,246.43
2004. august 11.,247.58
2004. august 12.,247.65
2004. august 13.,249.68
2004. august 16.,247.93
2004. august 17.,247.87
2004. august 18.,247.5
2004. august 19.,247.62
2004. august 23.,252.09
2004. august 24.,249.78
2004. august 25.,250.09
2004. august 26.,249.52
2004. august 27.,249.18
2004. august 30.,249.18
2004. august 31.,249.28
2004. september 1.,248.7
2004. september 2.,248.15
2004. september 3.,247.95
2004. september 6.,247.96
2004. september 7.,247.63
